Temporada,Jornada,Local,Visitante,Goles local,Goles visitante
2021_2022,32,Huesca,Burgos CF,1,0
2021_2022,33,Real Zaragoza,SD Amorebieta,1,1
2021_2022,34,Girona,Málaga,1,0
2021_2022,35,Lugo,Cartagena,1,0
2021_2022,36,Eibar,Las Palmas,2,2
2021_2022,37,Tenerife,Huesca,0,0
2021_2022,38,Las Palmas,Málaga,2,1
2021_2022,39,Las Palmas,Mirandés,1,0
2021_2022,40,R. Sociedad B,Almería,0,2
2021_2022,41,Real Zaragoza,Lugo,1,0
2021_2022,42,R. Sociedad B,Real Zaragoza,1,2
